Title,Artist,Album
Naresh Narayan - Aaja Ve Mahiya (Unforgettable) Lo-Fi Flip ft. Imran Khan,Naresh Narayan,Naresh Narayan - Aaja Ve Mahiya
Nightlight X Jannatein Kahan(Mashup) | Adbhut Chapter 15(MID CALL) | ROHAN | Night Drive Mashup 2023,ROHAN,Nightlight X Jannatein Kahan(Mashup) | Adbhut
Pasoori x Despacito (Sush & Yohan Mashup),Sush & Yohan Music,Pasoori x Despacito (Sush & Yohan
Pasoori X We Don't Talk Anymore | Adbhut Chapter 7 | Ali Sethi X Shae Gill | Breakup Mashup 2022 |,ROHAN,Pasoori X We Don't Talk Anymore
People X Nainowale Ne (Mashup) - Full Version | Neeti Mohan & Libianca | Lo-fi 2307 | Insta Viral,Lo-fi 2307 ,People X Nainowale Ne (Mashup) -
Reply to Husn | Full Reply Version | Anuv Jain | Anshika Sharma,Anshika Sharma,Unknown
Samjho Na X Wishes - Mashup | Aditya Rikhari | Hasan Raheem | DJ Sumit Rajwanshi,DJ Sumit Rajwanshi,Unknown
"Sawaar Loon Lootera Song With Lyrics | Ranveer Singh, Sonakshi Sinha",T-Series,Sawaar Loon Lootera Song With Lyrics
Shaed - Trampoline (Pandorux & Reqmeq Bootleg),Progstylez,Shaed - Trampoline (Pandorux & Reqmeq
She's All I Wanna Be x Ready For It | Mashup of Tate McRae/Taylor Swift,Adamusic,She's All I Wanna Be x
Something Just Like This(Megamix) | ROHAN X @Gravero | Adbhut Chapter 11 | The Chainsmokers,ROHAN,Something Just Like This(Megamix) | ROHAN
Starboy x Insane (Sush & Yohan Mashup) • AP DHILLON × THE WEEKND,Sush & Yohan Music,Starboy x Insane (Sush & Yohan
Starboy X Insane Desi Mashup Remix (The Weeknd/AP Dhillon/Ajwavy),AjWavy,Starboy X Insane Desi Mashup Remix
Stay Mashup (Sush & Yohan) - The Kid LAROI & Justin Bieber,Sush & Yohan Music,Stay Mashup (Sush & Yohan) -
Stay x Insane x Waalian (DJ Shaan x Gravero Edit),Gravero,Stay x Insane x Waalian (DJ
SugarCrash! Mashup🍭Sush & Yohan (Hosanna x Tum Tak x Kuch Kuch Hota Hai),Sush & Yohan Music,SugarCrash! Mashup🍭Sush & Yohan (Hosanna x
Sweet But Psycho Mashup - Sush & Yohan - AVA MAX + JELENA + 1D,Sush & Yohan Music,Sweet But Psycho Mashup - Sush
Teri Khair Mangdi X Bewafa (Synthwave Remix) | ROHAN | @imrankhanworld | Indian Synthwave,ROHAN,Teri Khair Mangdi X Bewafa (Synthwave
The Chainsmokers mashup | MEGAMIX (something just like this/closer/all we know more....),SMMUP,Unknown
The Weeknd & AP Dhillon - Blinding Lights × Excuses (Sush & Yohan Mashup),Sush & Yohan Music,The Weeknd & AP Dhillon -
Tigini x No Love (JAZ Scape Mashup) • Shubh • Kikimoteleba,JAZ Scape,Tigini x No Love (JAZ Scape
Toh Phir Aao X Labon Ko (Synthwave Remix) | Adbhut Chapter 15(END) | ROHAN | Indian Synthwave,ROHAN,Toh Phir Aao X Labon Ko
Tu Aake Dekhle X Brown Munde X Insane | ROHAN | @King  | Chill Mashup 2021 | @RUNUPRECORDS,ROHAN,Tu Aake Dekhle X Brown Munde
Tujhe Bhula Dia X Maula Mere | Synthwave Remix | ROHAN | Mohit Chauhan | Indian Synthwave,ROHAN,Tujhe Bhula Dia X Maula Mere
Winter of Decembers | December Mashup | Romantic Beats @DeejayJsg,Chobber Sidhu,Winter of Decembers | December Mashup
Woh Lamhe X Laare Choote | Adbhut Chapter 15(Extended) | ROHAN | Atif Aslam | Indian Synthwave Remix,ROHAN,Woh Lamhe X Laare Choote |
YAD,"Vanna Rainelle, Erika Lundmoen, Роман Варнин, Сюзанна Варнина",YAD
